ID,rooms,stations,area,apartment_floors,total_floors,price,repairs,children,animals
271271157,4.0,Смоленская,200.0,5,16,500000.0,3,1,1
271634126,4.0,Смоленская,198.0,5,16,500000.0,3,1,0
271173086,4.0,Смоленская,200.0,5,16,500000.0,2,1,0
272197456,4.0,Смоленская,170.0,5,6,400000.0,2,0,1
273614615,2.0,Арбатская,58.0,12,26,225000.0,2,0,0
274837728,3.0,Смоленская,92.0,3,7,470000.0,3,0,0
273643908,5.0,Арбатская,213.0,4,5,350000.0,2,1,1
274475342,3.0,Смоленская,98.0,2,4,250000.0,2,1,1
273973191,3.0,Смоленская,120.0,5,10,130000.0,2,0,1
272900409,4.0,Арбатская,90.0,2,7,210000.0,2,1,0
271036964,4.0,Смоленская,170.0,6,7,290000.0,2,1,0
273999490,3.0,Смоленская,80.0,4,8,100000.0,2,0,0
274017037,3.0,Смоленская,100.0,2,4,200000.0,3,1,1
273231024,5.0,Смоленская,180.0,6,8,500000.0,3,1,1
274839211,5.0,Кропоткинская,222.2,5,9,450000.0,2,0,0
274767901,5.0,Кропоткинская,225.0,5,9,450000.0,3,0,0
274995950,2.0,Арбатская,30.0,19,26,120000.0,2,1,1
274945807,5.0,Арбатская,222.0,5,9,450000.0,3,1,1
272911145,5.0,Александровский,150.0,4,7,180000.0,2,0,0
274748017,5.0,Кропоткинская,201.0,3,3,190000.0,2,1,1
273941734,2.0,Арбатская,64.0,12,26,205000.0,2,1,1
274493570,3.0,Кропоткинская,112.0,2,7,230000.0,2,1,0
274849101,4.0,Смоленская,190.0,4,5,590000.0,3,0,0
223918678,5.0,Арбатская,255.6,8,9,850000.0,2,1,1
274391259,5.0,Арбатская,186.0,3,3,190000.0,2,1,1
272945376,3.0,Арбатская,100.0,3,8,200000.0,2,1,1
272612966,5.0,Арбатская,150.0,4,7,200000.0,2,0,0
271568490,5.0,Смоленская,140.0,2,7,300000.0,3,1,0
264664760,3.0,Арбатская,132.8,5,13,400000.0,2,1,1
228923308,5.0,Арбатская,256.0,8,10,750000.0,3,1,1
267489303,6.0,Арбатская,380.0,3,6,870000.0,1,1,1
273353104,3.0,Смоленская,112.0,3,13,350000.0,0,0,0
273353103,2.0,Смоленская,91.0,10,13,400000.0,0,0,0
268321690,3.0,Арбатская,135.0,5,13,400000.0,3,1,1
269496185,4.0,Смоленская,190.0,4,5,590000.0,3,1,0
272188531,2.0,Арбатская,44.0,21,26,135000.0,0,0,0
272727784,3.0,Смоленская,85.0,7,7,150000.0,2,1,1
267110043,2.0,Смоленская,100.0,5,7,320000.0,0,1,0
265323319,3.0,Смоленская,133.3,5,13,400000.0,0,1,0
265804792,4.0,Смоленская,210.0,3,5,400000.0,0,0,1
239000408,4.0,Арбатская,180.0,4,4,450000.0,0,1,1
271209314,4.0,Смоленская,165.0,9,16,470000.0,0,0,1
269889430,4.0,Смоленская,190.0,4,6,590000.0,0,0,1
241704098,4.0,Смоленская,168.0,4,16,600000.0,0,1,0
239000331,5.0,Кропоткинская,250.0,8,9,850000.0,0,0,1
272823500,3.0,Арбатская,85.0,7,7,150000.0,2,0,0
274402813,3.0,Смоленская,105.0,6,17,195000.0,2,1,1
270190788,3.0,Смоленская,134.0,8,16,300000.0,2,1,1
271265359,2.0,Смоленская,60.0,5,6,90000.0,2,1,0
274289253,3.0,Арбатская,85.0,7,7,150000.0,3,0,0
274150874,5.0,Смоленская,150.0,4,6,250000.0,3,0,0
274849686,4.0,Смоленская,142.0,12,13,350000.0,2,0,0
274315381,5.0,Арбатская,222.0,7,9,450000.0,2,1,1
273779074,2.0,Смоленская,60.0,3,6,120000.0,0,1,1
274217247,3.0,Смоленская,103.0,2,3,120000.0,0,1,0
272156997,5.0,Кропоткинская,170.0,5,5,175000.0,2,1,1
274617827,5.0,Кропоткинская,200.0,3,3,190000.0,2,1,1
274252871,3.0,Смоленская,105.0,6,17,240000.0,0,1,1
269132104,1.0,Смоленская,60.0,2,12,250000.0,2,1,0
273911217,5.0,Смоленская,155.0,4,6,250000.0,3,0,0
269716469,3.0,Смоленская,134.0,8,16,300000.0,2,1,1
274137125,5.0,Киевская,214.6,3,13,500000.0,3,1,1
274140104,5.0,Смоленская,204.0,2,14,500000.0,0,1,1
271258034,5.0,Смоленская,180.0,7,8,500000.0,2,1,0
166833883,6.0,Арбатская,260.0,6,8,590000.0,3,1,1
273798495,4.0,Смоленская,237.1,7,11,650000.0,3,0,0
274810876,4.0,Смоленская,215.0,5,5,700000.0,2,0,0
274199925,3.0,Арбатская,100.0,2,3,115000.0,0,1,0
274223065,2.0,Смоленская,60.0,3,6,120000.0,3,0,0
271264562,5.0,Кропоткинская,170.0,5,5,175000.0,2,1,1
272632345,3.0,Арбатская,98.0,6,6,185000.0,0,0,0
274018110,2.0,Арбатская,175.0,3,9,200000.0,0,0,0
274029603,4.0,Смоленская,180.0,3,4,350000.0,2,1,0
274548856,4.0,Смоленская,132.0,12,13,350000.0,3,1,1
271766412,6.0,Александровский,228.0,3,6,400000.0,2,0,0
269165004,3.0,Смоленская,92.3,3,7,470000.0,0,0,0
274105576,5.0,Смоленская,204.0,2,13,500000.0,2,1,1
273785180,4.0,Арбатская,160.0,26,26,650000.0,2,1,1
273785183,4.0,Арбатская,140.0,25,26,650000.0,2,1,1
273785185,4.0,Арбатская,140.0,25,26,700000.0,2,1,1
274528249,1.0,Арбатская,45.0,6,7,120000.0,3,0,0
274431438,3.0,Смоленская,65.0,7,7,130000.0,2,1,1
274064272,3.0,Арбатская,87.0,4,7,140000.0,2,0,0
273078340,3.0,Смоленская,90.0,7,12,145000.0,3,1,1
274359655,4.0,Смоленская,180.0,3,4,350000.0,2,0,0
272226556,4.0,Арбатская,180.0,2,3,400000.0,3,1,0
273114736,4.0,Смоленская,170.0,4,7,650000.0,3,1,1
274319903,3.0,Смоленская,75.0,9,10,99000.0,1,1,1
273427928,3.0,Смоленская,87.0,3,7,100000.0,3,1,0
274296188,3.0,Арбатская,105.0,9,9,180000.0,1,1,0
272887177,3.0,Арбатская,99.0,3,9,200000.0,0,1,0
269319175,1.0,Смоленская,60.0,2,11,250000.0,0,1,0
269687656,4.0,Смоленская,140.0,4,6,280000.0,2,0,0
274501292,3.0,Арбатская,120.0,3,5,300000.0,3,1,1
261980888,3.0,Смоленская,133.0,5,13,400000.0,0,1,0
272567246,4.0,Смоленская,180.0,2,4,400000.0,0,1,1
274930877,4.0,Кропоткинская,219.0,5,9,450000.0,0,0,0
273576298,3.0,Кропоткинская,130.0,3,8,450000.0,0,1,0
271108834,5.0,Смоленская,180.0,7,7,500000.0,3,1,0
256631457,4.0,Арбатская,190.0,7,7,520000.0,0,1,0
271988698,3.0,Смоленская,174.0,10,16,550000.0,3,1,1
271305644,6.0,Арбатская,336.0,4,5,590000.0,3,0,0
271097684,4.0,Смоленская,170.0,4,7,650000.0,3,1,1
273106501,6.0,Библиотека,338.0,5,6,650000.0,0,1,1
274066192,2.0,Смоленская,52.0,11,24,80000.0,0,1,0
273763131,3.0,Смоленская,91.0,9,10,95000.0,0,0,0
273684904,2.0,Смоленская,56.0,7,16,105000.0,0,1,1
271542995,3.0,Смоленская,80.0,5,6,120000.0,0,0,0
273012299,2.0,Арбатская,94.0,5,5,135000.0,0,0,0
270282698,2.0,Арбатская,40.0,21,26,135000.0,0,1,0
274336333,3.0,Смоленская,94.0,4,4,145000.0,2,1,0
272244255,3.0,Смоленская,90.0,4,12,145000.0,0,0,0
272701749,2.0,Кропоткинская,120.0,4,4,165000.0,0,0,0
271204399,5.0,Кропоткинская,170.0,5,5,175000.0,2,0,0
274879736,3.0,Арбатская,140.0,4,6,180000.0,1,1,1
256631941,3.0,Арбатская,120.0,4,5,190000.0,0,1,1
272917777,3.0,Боровицкая,95.0,3,9,200000.0,2,0,0
252536547,4.0,Библиотека,130.0,4,5,220000.0,1,1,1
274434108,3.0,Арбатская,70.0,24,26,230000.0,3,1,0
269465572,4.0,Кропоткинская,189.0,2,9,330000.0,2,0,0
263779667,2.0,Смоленская,120.0,2,6,330000.0,0,0,0
272128059,4.0,Арбатская,212.0,6,17,350000.0,3,1,1
224335583,4.0,Баррикадная,111.0,9,10,350000.0,2,1,1
271627634,2.0,Смоленская,92.0,3,13,350000.0,3,0,0
274700592,4.0,Смоленская,132.0,12,13,350000.0,0,0,0
273231375,4.0,Смоленская,202.0,3,6,360000.0,3,0,0
271586905,2.0,Смоленская,123.0,7,13,400000.0,3,0,0
274315960,3.0,Арбатская,130.0,3,7,450000.0,3,1,0
272845144,3.0,Арбатская,180.0,6,9,450000.0,3,0,0
274743086,5.0,Кропоткинская,220.0,4,9,450000.0,2,1,1
271776317,4.0,Смоленская,180.0,6,11,450000.0,2,1,1
267884643,4.0,Арбатская,206.0,3,9,470000.0,3,1,0
274252226,5.0,Смоленская,215.0,2,13,500000.0,2,1,1
273970263,4.0,Арбатская,195.0,7,7,520000.0,3,0,0
269515978,4.0,Смоленская,186.0,4,6,590000.0,0,1,0
267915862,6.0,Смоленская,336.0,4,4,590000.0,3,1,1
273687210,6.0,Александровский,380.0,5,5,650000.0,2,1,1
274009456,2.0,Смоленская,53.0,11,24,80000.0,2,0,0
274723871,2.0,Смоленская,53.0,5,24,80000.0,2,1,0
274548003,2.0,Арбатская,60.0,23,24,90000.0,1,1,1
229808794,1.0,Арбатская,30.0,21,26,95000.0,3,0,0
274903280,3.0,Смоленская,80.0,2,12,100000.0,2,1,0
271439388,3.0,Смоленская,68.0,5,6,100000.0,2,1,1
273474991,2.0,Краснопресненская,55.0,7,16,105000.0,2,1,1
274135582,2.0,Смоленская,55.0,8,10,110000.0,2,1,1
274880892,3.0,Арбатская,103.0,2,3,120000.0,3,1,1
271716464,3.0,Смоленская,80.0,5,6,120000.0,2,0,0
271249218,2.0,Смоленская,65.0,1,7,130000.0,3,1,0
274012210,2.0,Арбатская,98.0,5,5,135000.0,2,1,0
269317588,2.0,Арбатская,40.0,21,26,135000.0,3,0,0
273650910,2.0,Арбатская,89.4,5,6,135000.0,2,1,1
273823802,3.0,Смоленская,90.0,4,12,145000.0,3,1,1
272821193,3.0,Арбатская,90.0,7,7,150000.0,2,1,1
274103646,3.0,Арбатская,100.0,5,5,150000.0,1,1,1
